objectid,title,displaydate,medium
1758,Wine Cup,"Kangxi period, 1662/1722",porcelain with famille verte and famille jaune enamels on the biscuit
1759,Hexagonal Covered Jar,"Kangxi period, 1662/1722",porcelain with famille jaune enamels on the biscuit
1760,Hexagonal Covered Jar,"Kangxi period, 1662/1722",porcelain with famille jaune enamels on the biscuit
1761,Hexagonal Covered Jar,"Kangxi period, 1662/1722",porcelain with famille jaune enamels on the biscuit
1762,Hexagonal Trumpet Beaker Vase,"Kangxi period, 1662/1722",porcelain with famille jaune enamels on the biscuit
1763,Hexagonal Trumpet Beaker Vase,"Kangxi period, 1662/1722",porcelain with famille jaune enamels on the biscuit
1773,"Guanyin, the Bodhisattva of Compassion","Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
2046,Les Nymphes decouvrent a Diane la grossesse de Calisto,1766,graphite
1765,Hexagonal Lantern,"Kangxi period, 1662/1722",porcelain with overglaze famille verte enamels on the biscuit
1901,"Fifth Day, Fourth Story, The Nightingale",1757,graphite
1766,Lantern,"Kangxi period, 1662/1722",porcelain with overglaze famille verte enamels
1767,Silver Stand,1900/1911,silver
1768,Lantern,"Kangxi period, 1662/1722",porcelain with overglaze famille verte enamels
1769,Silver Stand,1900/1911,silver
1770,"Shou Lao, the God of Longevity","Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1771,Young Woman,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1774,Female Attendant,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1775,Li Tieguai,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1776,Dancing Woman,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1777,Female Attendant,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1778,Female Attendant,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1779,Female Attendant,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1780,Duck on Lotus Leaf,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1781,Lion on High Pedestal,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1782,Lion on High Pedestal,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1783,Baluster Vase,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1784,Baluster Vase,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1793,Zun-Shaped Beaker Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1785,Baluster Vase,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1786,Rectangular Vase Illustrating Poems by Tao Qian and Su Shi,"Kangxi period, 1662/1722",porcelain with famille jaune and famille noire enamels on the biscuit
1787,Bottle Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels and carved decoration
1788,"Vase, Meiping Shape","Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1789,Rectangular Vase,"Kangxi period, 1662/1722",porcelain with famille jaune enamels on the biscuit
1790,Rectangular Vase,"Kangxi period, 1662/1722",porcelain with famille jaune enamels on the biscuit
1791,Vase in the Shape of an Archaic Bronze Fang Hu,"Kangxi period, 1662/1722",porcelain with famille jaune enamels on the biscuit
1792,Zun-Shaped Beaker Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1794,Square Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1795,Baluster Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1796,Baluster Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1797,Bowl,"early Qianlong period, 1736/1750",porcelain with overglaze famille rose and famille noire enamels
1798,Rouleau-Shaped Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1799,Rouleau-Shaped Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1800,Rouleau-Shaped Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1801,Rouleau-Shaped Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1802,Baluster Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1803,Baluster Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1804,Baluster Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1805,Baluster Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1806,Baluster Vase,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1807,Large Jar,"Kangxi period, 1662/1722",porcelain with famille noire enamels on the biscuit
1808,Baluster Vase,"Kangxi period, 1662/1722",porcelain with overglaze famille verte enamels
1809,Baluster Vase,"Kangxi period, 1662/1722",porcelain with overglaze famille verte enamels
1810,Baluster Vase,"Kangxi period, 1662/1722",porcelain with overglaze famille verte enamels
1811,Large Covered Baluster Jar,late 18th century,porcelain with overglaze famille rose enamels
1812,Large Covered Baluster Jar,late 18th century,porcelain with overglaze famille rose enamels
1813,Covered Jar,mid 18th century (jar); 19th century (mount),"porcelain with overglaze famille rose enamels, on gilded bronze mount"
1814,Covered Jar,mid 18th century (jar); 19th century (mount),"porcelain with overglaze famille rose enamels, on gilded bronze mount"
1815,Covered Jar,mid 18th century (jar); 19th century (mount),"porcelain with overglaze famille rose enamels, on gilded bronze mount"
10184,The Giaour: Title Page,1932,color etching
1816,Beaker Vase,mid 18th century,porcelain with overglaze famille rose enamels
1817,Beaker Vase,mid 18th century,porcelain with overglaze famille rose enamels
1818,Large Fish Bowl,late 18th century,porcelain with blue and overglaze famille rose enamels
1819,Large Fish Bowl,late 18th century,porcelain with blue and overglaze famille rose enamels
1820,Large Fish Bowl,late 18th century,porcelain with blue and overglaze famille rose enamels
1821,Large Fish Bowl,late 18th century,porcelain with blue and overglaze famille rose enamels
1822,Large Fish Bowl,"Kangxi period, 1662/1722",porcelain with overglaze famille verte enamels
1823,Large Fish Bowl,late 18th century,porcelain with overglaze famille verte enamels
1824,Large Fish Bowl,late 18th century,porcelain with overglaze famille verte enamels
1825,Large Fish Bowl,mid 19th century,porcelain with underglaze blue and famille verte enamels
1826,"Cut Velvet, White Ground",19th century,
1827,"Cut Velvet, Yellow Ground",19th century,
1828,"Cut Velvet, Gold Ground",19th century,
1829,"Cut Velvet, Blue Ground",19th century,
1830,"Velvet, Green",19th century,
1831,"Velvet, Green Ground",19th century,
1832,"Velvet, Green Ground",19th century,
1833,"Velvet Cope, Green with Gold Lining",19th century,"velvet: dyed silk warp and weft; linings (old and modern): unbleached linen, dyed silk and cotton"
1834,"Velvet Dalmatic, Red",19th century,
1860,Le fausse Agnes,1790,pen and india ink
1861,Le tambour nocturne,1790,pen and india ink
1863,L'archi menteur,1790,pen and india ink
1864,"Title Page for Volume I of Boccaccio's ""Decamerone""",1757,pen and black ink with brown wash
1865,"Album of Preliminary Drawings for Boccaccio's ""Decamerone"" (1757 edition), volume I",1757,bound volume with 39 drawings
1866,"First Day, Frontispiece",1757,pen and black ink with brown wash
1867,"First Day, First Story,  The Confession of St. Ciapelletto",1757,pen and black ink with brown wash
1868,"First Day, Third Story, Melchizedeck and the Three Rings",1757,pen and black ink with brown wash
1869,"First Day, Fourth Story, The Abbot, the Monk and the Peasant's Daughter",1757,graphite
1870,"First Day, Fifth Story, The Dinner of Chickens",1757,pen and black ink with brown wash
1871,"First Day, Sixth Story, Hypocrisy of the Clergy Reproved",1757,graphite
1872,"First Day, Seventh Story, Cane della Scala's Avarice Reproved",1757,graphite
1873,"First Day, Eighth Story,  Ermino di Grimaldi's Covetousness Checked",1757,pen and black ink with brown wash
1874,"First Day, Ninth Story, The King of Cyprus's Reformation",1757,pen and black ink with brown wash
1875,"First Day, Tenth Story, Maestro Alberto da Bologna",1757,graphite
1876,"Second Day, Frontispiece",1757,pen and black ink with brown wash
1877,"Second Day, First Story, Martellino Feigns Himself a Cripple",1757,pen and black ink with brown wash
1879,"Second Day, Third Story, The King of England's Daughter Disguised as an Abbe",1757,pen and black ink with brown wash
1880,"Second Day, Fourth Story, Landolfo Ruffolo Becomes a Pirate",1757,pen and black ink with brown wash
1881,"Second Day, Fifth Story, Andreuccio's Three Accidents in a Night",1757,graphite
1882,"Second Day, Sixth Story,  Madonna Beritola and the Two Goats",1757,pen and black ink with brown wash
1884,"Second Day, Eighth Story, History of the Count of Anguersa",1757,pen and black ink with brown wash
1885,"Second Day, Ninth Story,  Bernabo of Genoa and His Wife",1757,pen and black ink with brown wash
1886,"Third Day, First Story, Lamporecchio in the Convent",1757,pen and black ink with brown wash
1887,"Third Day, Second Story,  King Agilulf and His Equerry",1757,pen and black ink with brown wash
1888,"Third Day, Fourth Story, Puccio's Penance and His Wife's Amusement",1757,pen and black ink with brown wash
1889,"Third Day, Sixth Story, Ricciardo Minutolo",1757,pen and black ink with brown wash
1890,"Third Day, Eighth Story, Ferondo in Purgatory",1757,pen and black ink with brown wash
1891,"Third Day, Ninth Story, Gileta di Nerbona and Count Betramo di Rossiglione",1757,pen and black ink with brown wash
1892,"Fourth Day, First Story, Tancredi Prince of Salerno and His Daughter",1757,graphite
1893,"Fourth Day, Fourth Story, Gerbino and the King of Tunis' Daughter",1757,graphite
1894,"Fourth Day, Fifth Story, Isabella and the  Pot of Basil",1757,graphite
1895,"Fourth Day, Seventh Story, Two Lovers Poisoned by a Leaf",1757,pen and black ink with brown wash
1896,"Fourth Day, Eighth Story, Girolamo's Love and Death for Salvestra",1757,pen and black ink with brown wash
1897,"Fourth Day, Ninth Story, Rossiglione Dresses Guardastagno's Heart for His Wife's Supper",1757,pen and black ink with brown wash
1898,"Fourth Day, Tenth Story, A Doctor's Wife Puts Her Lover in a Chest",1757,pen and black ink with brown wash
1899,"Fifth Day, Frontispiece",1757,pen and black ink with brown wash
1900,"Fifth Day, Third Story, Pietro Boccamazza",1757,pen and black ink with brown wash
1902,"Fifth Day, Fifth Story, Guidotto da Cremona's Daughter",1757,pen and black ink with brown wash
1903,"Fifth Day, Tenth Story, The Wives of Pietro di Vinciolo and Hercolano",1757,pen and black ink with brown wash
1904,"Title Page for Volume II of Boccaccio's ""Decamerone""",1757,pen and black ink with brown wash
1905,"Album of Preliminary Drawings for Boccaccio's ""Decamerone"" (1757 edition), volume II",1757,"bound volume with 38 drawings, of which 36 are by Gravelot, 1 by Cochin, and 1 by Eisen"
1906,"Sixth Day, Second Story, Cisti the Baker and His Wine",1757,pen and black ink with brown wash
1907,"Sixth Day, Fifth Story, Forese da Rabatta and Giotto the Painter",1757,pen and black ink with brown wash
1908,"Sixth Day, Seventh Story, Madonna Filipa's Escape",1757,pen and black ink with brown wash
1909,"Sixth Day, Eighth Story, Fresco and His Niece",1757,pen and black ink with brown wash
1910,"Sixth Day, Ninth Story, Guido Cavalcanti and the Florentines",1757,pen and black ink with brown wash
1911,"Sixth Day, Tenth Story, Brother Cipolla and the Angel Gabriel's Feather",1757,pen and black ink with brown wash
1912,"Seventh Day, First Story, Gianni Lotteringhi and His Wife's Conjurations",1757,pen and black ink with brown wash
1913,"Seventh Day, Third Story, Brother Rinaldo's Cure for the Worms",1757,pen and black ink with brown wash
1914,"Seventh Day, Fourth Story, Monna Ghita's Trick upon Her Husband Tofano",1757,pen and black ink with brown wash
1996,"Promethee forme l'homme de terre et d'eau,  et Minerve anime son ouvrage",1765,etching and engraving with stipple
1915,"Seventh Day, Fifth Story, The Husband's Confession of His Wife",1757,pen and black ink with brown wash
1916,"Seventh Day, Sixth Story, Isabella, Leonetto and Lambertuccio",1757,pen and black ink with brown wash
1917,"Seventh Day, Seventh Story, Beatrice Sends Her Lover to Beat Her Husband",1757,pen and black ink with brown wash
1918,"Seventh Day, Eighth Story, Arriguccio Outwitted by His Wife",1757,pen and black ink with brown wash
1919,"Seventh Day, Ninth Story, Lidia Makes Her Husband Discredit His Own Eyes",1757,pen and black ink with brown wash
1920,"Seventh Day, Tenth Story, Tingoccio, after Dying, Revisits His Friend Meuccio",1757,pen and black ink with brown wash
1922,"Eighth Day, Third Story, Calandrino's Search for the Heliotrope",1757,pen and black ink with brown wash
1923,"Eighth Day, Fourth Story, The Provost Caught with the Ugly Maid",1757,pen and black ink with brown wash
1924,"Eighth Day, Fifth Story, Three Young Sparks and a Judge",1757,pen and black ink with brown wash
1925,"Eighth Day, Seventh Story, The Scholar's Revenge",1757,pen and black ink with brown wash
1926,"Eighth Day, Eighth Story, The Witty Revenge",1757,pen and black ink with brown wash
1927,"Eighth Day, Tenth Story, The Merchant's Revenge on the Courtesan",1757,pen and black ink with brown wash
1928,"Ninth Day, Second Story, The Abbess, the Nun and the Breeches",1757,pen and black ink with brown wash
1929,"Ninth Day, Fourth Story, Fortarrigo Gets His Master Apprehended as a Thief",1757,graphite
1930,"Ninth Day, Seventh Story, The Termigant and the Wolf",1757,pen and black ink with brown wash
1931,"Ninth Day, Ninth Story, Solomon's Advice to Two Young Men",1757,pen and black ink with brown wash
1932,"Tenth Day, Frontispiece",1757,pen and black ink with brown wash
1933,"Tenth Day, First Story, Ruggieri de' Figiovanni and the King of Spain",1757,pen and black ink with brown wash
1934,"Tenth Day, Second Story, The Robber Tacco Cures the Abbot of Cligni",1757,pen and black ink with brown wash
1935,"Tenth Day, Third Story, Mitridanes Overcome by Nathan's Generosity",1757,pen and black ink with brown wash
1936,"Tenth Day, Fourth Story, Gentil de Carisendi's Generosity",1757,pen and black ink with brown wash
1937,"Tenth Day, Fifth Story, Ansaldo's Garden",1757,pen and black ink with brown wash
1938,"Tenth Day, Sixth Story, King Carlo and Uberti's Daughters",1757,pen and black ink with brown wash
1939,"Tenth Day, Seventh Story, King Petro and the Apothecary's Daughter",1757,pen and black ink with brown wash
1940,"Tenth Day, Eighth Story, Sophronia, Gisippo and Tito Quintio Fulvo",1757,pen and black ink with brown wash
1942,"Tenth Day, Tenth Story, Griselda",1757,pen and black ink with brown wash
1981,Le Decameron ... (volume IV),published 1757/1761,bound volume with etchings and engravings
1943,"Title Page for Volume III of Boccaccio's ""Decamerone""",1757,pen and black ink with brown wash
1944,"Album of Preliminary Drawings for Boccaccio's ""Decamerone"" (1757 ed.), volume III",1757,bound volume with 34 drawings
1945,"Cul-de-lampe for Second Day, Third Story and Vignette for the Life of Boccaccio",1757,pen and black ink with brown wash
1946,"Cul-de-lampe for First Day, Introduction and Cul-de-lampe for First Day, First Story",1757,pen and black ink with brown wash
1947,"Cul-de-lampe for First Day, Third Story and Cul-de-lampe for First Day, Fifth Story",1757,pen and black ink with brown wash
1948,"Cul-de-lampe for First Day, Sixth Story and Cul-de-lampe for Second Day, Fourth Story",1757,"brush and brown ink with brown wash over red chalk(top), and pen and black ink with brown wash (bottom), on two joined sheets"
1949,"Cul-de-lampe for Third Day, Ninth Story and Cul-de-lampe for Third Day, Tenth Story",1757,pen and black ink with brown wash
